"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name"
475626,"Principal Data Analyst","Anywhere","Full-time","160000.0","2023-02-02","Realtime Recruitment"
587198,"Data Architect","Anywhere","Full-time","120000.0","2023-07-18","Motion Recruitment"
205303,"Data Analyst, Risk User Experience","Canada","Full-time","111175.0","2023-09-04","Stripe"
1180796,"Data Analyst, Growth","Canada","Full-time","111175.0","2023-04-12","Stripe"
409209,"Data Analyst (VBA, Tableau)","Canada","Full-time","109000.0","2023-11-09","Sun Life"
629221,"Analytics Engineering Lead","Canada","Full-time","108415.5","2023-11-27","Swiss Re"
1591043,"Data Analyst, End to End Banking Operations","Edmonton, AB, Canada","Full-time","105000.0","2023-06-30","ATB Financial"
827579,"Data Analyst - Game Operations","Canada","Full-time","105000.0","2023-07-06","HoYoverse"
1232872,"Analytics Lab Architect","Canada","Full-time","101014.0","2023-12-24","Swiss Re"
995289,"Operation Data Analyst - Genshin Impact","Canada","Full-time","100500.0","2023-07-06","HoYoverse"
